name,ring,quadrant,isNew,description
TypeScript,Adopt,Techniques,false,<p><span style="background-color:#ffffff; color:#444444; font-size:13px"><a href="https://www.typescriptlang.org/">TypeScript</a>&nbsp;is a programming language developed and maintained by Microsoft. It is a strict syntactical superset of JavaScript and adds optional static typing to the language. TypeScript is designed for the development of large applications and transcompiles to JavaScript.</span></p>
MS Teams,Adopt,Platforms,false,<p>Microsoft Teams is a proprietary business communication platform developed by Microsoft, as part of the Microsoft 365 family of products. Teams primarily competes with the similar service Slack, offering workspace chat and videoconferencing, file storage, and application integration.</p>
Agile Scrum Methodology,Adopt,Techniques,true,<p>Based on <a href="https://www.scaledagileframework.com/">SAFe</a> our Agile Scrum Methodology is a knowledge base of tested and integrated principles, practices and competencies for achieving business agility using Lean, Agile, and DevOps.</p>
Software Delivery Guardrails,Adopt,Techniques,true,<p>Empowering development teams to find, fix and prevent vulnerabilities related to source code, open source libraries, secret management and cloud configuration</p>
Strong Security Policy,Adopt,Techniques,false,<p>We meet the the security requirements set out by the <strong>Global Information Security Policies</strong> enforcing management directions and support for information security in accordance with business requirements and relevant laws and regulations.</p>
PEGA,Adopt,Tools,true,<p><a href="https://www.pega.com/">Pegasystems Inc</a>. is an American software company based in Cambridge, Massachusetts. Founded in 1983, Pegasystems develops software for customer relationship management, robotic process automation, and business process management.</p>
Microsoft Visual Studio,Adopt,Tools,false,<p><span style="background-color:#ffffff; color:#444444; font-size:13px"><a href="https://visualstudio.microsoft.com/vs/">Microsoft Visual Studio</a> is an integrated development environment (IDE) from Microsoft. It is used to develop computer programs, as well as websites, web apps, web services and mobile apps.</span></p>
