name,ring,quadrant,isNew,description
MS Teams,Adopt,Platforms,false,<p>Microsoft Teams is a proprietary business communication platform developed by Microsoft, as part of the Microsoft 365 family of products. Teams primarily competes with the similar service Slack, offering workspace chat and videoconferencing, file storage, and application integration.</p>
SOFY,Trial,Platforms,true,<p>SOFY Suite enables you to operationalize data analytics and use it at the right time for the right purpose. The predefined applications of the SOFY Suite are based on our modern self-service BI, survey and workflow engine and KPMG's may years of experience in the areas of auditing and consulting.</p>
Agile Scrum Methodology,Adopt,Techniques,true,<p>Based on <a href="https://www.scaledagileframework.com/">SAFe</a> our Agile Scrum Methodology is a knowledge base of tested and integrated principles, practices and competencies for achieving business agility using Lean, Agile, and DevOps.</p>
Managed Cloud Environments,Adopt,Techniques,true,<p><strong>One Platform</strong>, <strong>Cloud Next </strong>and <strong>Country Hosting </strong>- Managed Services and Cloud Environments hosted in Azure&nbsp;are recognized as the trusted partner in the delivery of cloud-based and managed services solutions. These solutions are designed to realize customers’ operational excellence goals.</p>
Software Delivery Guardrails,Adopt,Techniques,true,<p>Empowering development teams to find, fix and prevent vulnerabilities related to source code, open source libraries, secret management and cloud configuration</p>
Strong Security Policy,Adopt,Techniques,false,<p>We meet the the security requirements set out by the <strong>Global Information Security Policies</strong> enforcing management directions and support for information security in accordance with business requirements and relevant laws and regulations.</p>
Microsoft Visual Studio,Adopt,Tools,false,<p><span style="background-color:#ffffff; color:#444444; font-size:13px"><a href="https://visualstudio.microsoft.com/vs/">Microsoft Visual Studio</a> is an integrated development environment (IDE) from Microsoft. It is used to develop computer programs, as well as websites, web apps, web services and mobile apps.</span></p>
